,District,Year-Month,CommName,Year,Month,Arrivals,Model,Weighted_Modal
103,Hyderabad,2018-09-01,Onions,2018,Sep,168387.9999999999,1108.0,1101.510796493812
104,Hyderabad,2018-10-01,Chillies(Dry),2018,Oct,3773.0,5345.0,5493.442883646965
105,Hyderabad,2018-10-01,Onions,2018,Oct,133374.99999999994,1204.5454545454545,1375.832802249297
106,Hyderabad,2018-11-01,Chillies(Dry),2018,Nov,10080.0,5370.0,5523.418650793651
107,Hyderabad,2018-11-01,Onions,2018,Nov,183715.9999999999,1127.7397260273972,1124.8970693897102
108,Hyderabad,2018-12-01,Chillies(Dry),2018,Dec,27585.0,5560.416666666667,5554.918252673555
109,Hyderabad,2018-12-01,Onions,2018,Dec,197590.7999999999,1100.0,1100.0
110,Hyderabad,2019-01-01,Chillies(Dry),2019,Jan,47164.799999999996,5464.090909090909,5408.425096682271
111,Hyderabad,2019-01-01,Onions,2019,Jan,182729.9999999999,1100.0,1100.0
112,Hyderabad,2019-02-01,Chillies(Dry),2019,Feb,56818.0,5488.181818181818,5489.141293252138
113,Hyderabad,2019-02-01,Onions,2019,Feb,177722.7999999999,1100.0,1100.0
114,Hyderabad,2019-03-01,Chillies(Dry),2019,Mar,44292.0,5374.117647058823,5415.900162557573
115,Hyderabad,2019-03-01,Onions,2019,Mar,144382.59999999995,1207.3275862068965,1400.3708895670252
116,Hyderabad,2019-04-01,Chillies(Dry),2019,Apr,35308.0,5439.565217391304,5382.386428004985
117,Hyderabad,2019-04-01,Onions,2019,Apr,176545.99999999994,1100.0,1100.0
118,Hyderabad,2019-05-01,Chillies(Dry),2019,May,11304.0,5328.4,5317.631811748054
119,Hyderabad,2019-05-01,Onions,2019,May,177745.59999999995,1105.1724137931035,1100.5687904510717
120,Hyderabad,2019-06-01,Chillies(Dry),2019,Jun,6359.0,5403.913043478261,5387.328196257273
121,Hyderabad,2019-06-01,Onions,2019,Jun,176068.19999999995,1131.1475409836066,1107.4799424313987
122,Hyderabad,2019-07-01,Chillies(Dry),2019,Jul,3706.0,5592.5,5580.132218024824
123,Hyderabad,2019-07-01,Onions,2019,Jul,191590.39999999994,1274.264705882353,1227.1788148049172
124,Hyderabad,2019-08-01,Chillies(Dry),2019,Aug,2204.0,5005.263157894737,4893.18058076225
125,Hyderabad,2019-08-01,Onions,2019,Aug,152699.99999999994,1491.8367346938776,1534.1899803536348
126,Hyderabad,2019-09-01,Chillies(Dry),2019,Sep,4148.0,5544.705882352941,5562.3674059787845
127,Hyderabad,2019-09-01,Onions,2019,Sep,169810.9999999999,2189.4736842105262,2077.1690879860553
128,Hyderabad,2019-10-01,Chillies(Dry),2019,Oct,3366.0,5610.0,5610.0
129,Hyderabad,2019-10-01,Onions,2019,Oct,177183.7999999999,2038.4057971014493,1857.590197297947
130,Hyderabad,2019-11-01,Chillies(Dry),2019,Nov,11659.0,5500.208333333333,5538.5311776310145
131,Hyderabad,2019-11-01,Onions,2019,Nov,183223.59999999992,2714.8507462686566,2956.2505485101265
132,Hyderabad,2019-12-01,Chillies(Dry),2019,Dec,26100.0,5610.0,5610.0
133,Hyderabad,2019-12-01,Onions,2019,Dec,147738.19999999995,4919.622641509434,5245.06956223915
134,Jagityal,2016-03-01,Maize,2016,Mar,7372.0,1414.235294117647,1413.2322300596852
135,Jagityal,2016-04-01,Maize,2016,Apr,9717.0,1407.5666666666666,1424.9479263147061
136,Jagityal,2016-04-01,Paddy,2016,Apr,3603.0,1314.5454545454545,1336.3524840410769
137,Jagityal,2016-05-01,Maize,2016,May,2750.0,1411.0869565217392,1427.8861818181817
138,Jagityal,2016-05-01,Paddy,2016,May,152.0,1509.7857142857142,1515.671052631579
139,Jagityal,2016-06-01,Maize,2016,Jun,148.0,1484.3125,1501.695945945946
140,Jagityal,2016-06-01,Paddy,2016,Jun,202.0,1537.2142857142858,1608.269801980198
141,Jagityal,2016-07-01,Maize,2016,Jul,68.0,1524.4444444444443,1535.1470588235295
142,Jagityal,2016-07-01,Paddy,2016,Jul,118.0,1456.6666666666667,1464.0677966101696
143,Jagityal,2016-08-01,Maize,2016,Aug,28.0,2298.0,2298.0
144,Jagityal,2016-08-01,Paddy,2016,Aug,21.0,1361.8333333333333,1361.8333333333333
145,Jagityal,2016-10-01,Maize,2016,Oct,21711.5,1359.0740740740741,1375.2021048752965
146,Jagityal,2016-11-01,Maize,2016,Nov,37219.0,1356.2337662337663,1360.4231709610683
147,Jagityal,2016-11-01,Paddy,2016,Nov,41714.6,1522.0766666666666,1577.3362164166342
148,Jagityal,2016-12-01,Maize,2016,Dec,9811.55,1359.4897959183672,1360.8167669736179
149,Jagityal,2016-12-01,Paddy,2016,Dec,78950.4,1515.9151138716356,1527.38364994562
150,Jagityal,2017-01-01,Maize,2017,Jan,587.0,1402.1818181818182,1400.5212947189098
151,Jagityal,2017-01-01,Paddy,2017,Jan,15158.8,1577.7688271604939,1503.4423448206103
152,Jagityal,2017-02-01,Maize,2017,Feb,534.0,1410.55,1415.4700374531835
153,Jagityal,2017-02-01,Paddy,2017,Feb,11401.0,1761.3659420289855,1551.356591527059
154,Jagityal,2017-03-01,Cotton,2017,Mar,4542.0,4410.25,4391.572875385293
155,Jagityal,2017-03-01,Maize,2017,Mar,3715.0,1412.0,1409.885598923284
156,Jagityal,2017-03-01,Paddy,2017,Mar,14276.0,1659.6954022988505,1520.2323012982163
157,Jagityal,2017-04-01,Cotton,2017,Apr,310.0,4800.0,4677.419354838709
158,Jagityal,2017-04-01,Maize,2017,Apr,19513.0,1485.7894736842106,1480.093117408907
159,Jagityal,2017-04-01,Paddy,2017,Apr,26007.0,1519.0151515151515,1501.6501646992476
160,Jagityal,2017-05-01,Cotton,2017,May,210.0,4285.0,4285.0
161,Jagityal,2017-05-01,Maize,2017,May,1122.0,1488.6923076923076,1477.2192513368984
162,Jagityal,2017-05-01,Paddy,2017,May,136333.19999999998,1490.0535714285713,1506.0126501346213
